"Geneid","Chr","Start","End","Strand","Length","conA_rep1_sorted.bam","conA_rep2_sorted.bam","conB_rep1_sorted.bam","conB_rep2_sorted.bam","WT1_rpm","WT2_rpm","WT3_rpm","WT4_rpm","Matched_Gene","RPKM_WT1","RPKM_WT2","RPKM_WT3","RPKM_WT4"
"YCL075W","NC_001135.5","2126","2566","+",441,0,0,0,0,0,0,0,0,0.44,0,0,0,0
"YCL074W","NC_001135.5","2824","3750","+",927,0,0,0,0,0,0,0,0,0.926,0,0,0,0
"YCL073C","NC_001135.5","6479","8326","-",1848,2,2,1,1,2.77843765672125,2.45537358509097,1.58191303907642,1.10946909684778,1.847,1.50429759432661,1.32938472392581,0.856477010869743,0.600687112532635
"YCL069W","NC_001135.5","9706","11082","+",1377,3,1,2,1,4.16765648508187,1.22768679254549,3.16382607815283,1.10946909684778,1.376,3.02882011997229,0.892214238768522,2.29929220795991,0.806300215732396
"YCL068C","NC_001135.5","11503","12285","-",783,7,7,1,3,9.72453179852437,8.5938075478184,1.58191303907642,3.32840729054333,0.782,12.4354626579596,10.9895237184379,2.02290669958621,4.25627530760017
"YCL067C","NC_001135.5","12386","13018","-",633,25,10,14,17,34.7304707090156,12.2768679254549,22.1467825470698,18.8609746464122,0.632,54.9532764383158,19.4254239326817,35.0423774478953,29.8433143139434
"YCL066W","NC_001135.5","13282","13809","+",528,0,0,1,0,0,0,1.58191303907642,0,0.527,0,0,3.00173252196663,0
"YCL064C","NC_001135.5","15798","16880","-",1083,11,35,12,32,15.2814071119669,42.969037739092,18.982956468917,35.5030110991288,1.082,14.1232967763095,39.7126041950943,17.5443220599972,32.8123947311727
"YCL063W","NC_001135.5","17290","18561","+",1272,35,22,20,25,48.6226589926219,27.0091094360007,31.6382607815283,27.7367274211944,1.271,38.255435871457,21.2502827977975,24.8924160358209,21.8227595760774
"YCL061C","NC_001135.5","18816","22106","-",3291,32,49,54,63,44.45500250754,60.1566528347288,85.4233041101265,69.8965531014099,3.29,13.5121588168815,18.2846969102519,25.9645301246585,21.2451529183617
"YCL059C","NC_001135.5","22429","23379","-",951,37,40,73,108,51.4010966493431,49.1074717018194,115.479651852578,119.82266245956,0.95,54.1064175256243,51.6920754755994,121.557528265872,126.129118378484
"YCL058C","NC_001135.5","23523","23981","-",459,1,1,5,5,1.38921882836062,1.22768679254549,7.90956519538208,5.54734548423888,0.458,3.03322888288346,2.68053884835259,17.2697930030176,12.1121080441897
"YCL058W-A","NC_001135.5","23584","23925","+",342,0,0,0,0,0,0,0,0,0.341,0,0,0,0
"YCL057C-A","NC_001135.5","24032","24325","-",294,77,96,41,51,106.969849783768,117.857932084367,64.8584346021331,56.5829239392366,0.293,365.084811548697,402.245501994425,221.359845058475,193.115781362582
"YCL057W","NC_001135.5","24768","26906","+",2139,221,296,151,197,307.017361067698,363.395290593464,238.868868900539,218.565412079012,2.138,143.600262426426,169.969733673276,111.725383021767,102.228911168855
"YCL056C","NC_001135.5","26925","27359","-",435,17,18,22,29,23.6167200821306,22.0983622658187,34.8020868596812,32.1746038085855,0.434,54.416405719195,50.9178854051123,80.1891402296801,74.1350318170173
"YCL055W","NC_001135.5","27929","28936","+",1008,25,28,24,25,34.7304707090156,34.3752301912736,37.965912937834,27.7367274211944,1.007,34.489047377374,34.1362762574713,37.7019989452175,27.5439199813251
"YCL054W-A","NC_001135.5","30910","30996","+",87,4,1,1,2,5.5568753134425,1.22768679254549,1.58191303907642,2.21893819369555,0.086,64.6148292260756,14.2754278202963,18.3943376636793,25.8016069034367
"YCL054W","NC_001135.5","31449","33974","+",2526,26,37,64,129,36.1196895373762,45.424411324183,101.242434500891,143.121513493363,2.525,14.3048275395549,17.9898658709636,40.0960136637191,56.681787522124
"YCL052C","NC_001135.5","34143","35393","-",1251,127,128,102,127,176.430791201799,157.143909445822,161.355129985794,140.902575299668,1.25,141.144632961439,125.715127556658,129.084103988636,112.722060239734
"YCL051W","NC_001135.5","35865","37616","+",1752,73,57,39,65,101.412974470326,69.9781471750927,61.6946085239802,72.1154912951055,1.751,57.9171755969878,39.9646757139307,35.2339283403656,41.1853177013738
"YCL050C","NC_001135.5","37836","38801","-",966,153,170,91,177,212.550480739176,208.706754732733,143.954086555954,196.376030142056,0.965,220.259565532824,216.276429774852,149.175219228968,203.498476831147
"YCL049C","NC_001135.5","39786","40724","-",939,76,63,28,33,105.580630955407,77.3442679303656,44.2935650941396,36.6124801959766,0.938,112.559308054805,82.4565756187267,47.2212847485497,39.0324948784399
"YCL048W-A","NC_001135.5","41488","41727","+",240,8,0,1,1,11.113750626885,0,1.58191303907642,1.10946909684778,0.239,46.5010486480544,0,6.61888300868793,4.64213011233379
"YCL048W","NC_001135.5","42165","43556","+",1392,4,1,0,2,5.5568753134425,1.22768679254549,0,2.21893819369555,1.391,3.99487801110172,0.882592949349738,0,1.5952107790766
"YCL047C","NC_001135.5","43661","44437","-",777,31,31,16,18,43.0657836791794,38.0582905689101,25.3106086252227,19.97044374326,0.776,55.4971439164682,49.0441888774614,32.6167636922972,25.7351079165721
"YCL045C","NC_001135.5","44623","46905","-",2283,145,170,150,215,201.436730112291,208.706754732733,237.286955861462,238.535855822272,2.282,88.2720114427215,91.4578241598302,103.982013962078,104.529297029918
"YCL044C","NC_001135.5","47111","48364","-",1254,58,53,27,44,80.5746920449162,65.0674000049107,42.7116520550632,48.8166402613022,1.253,64.3054206264296,51.9292897086279,34.0875116161718,38.959808668238
"YCL043C","NC_001135.5","48653","50221","-",1569,932,1003,540,822,1294.7519480321,1231.36985292312,854.233041101265,911.983597608872,1.568,825.734660734759,785.312406200971,544.791480294174,581.622192352597
"YCL042W","NC_001135.5","50584","50943","+",360,3,4,3,1,4.16765648508187,4.91074717018194,4.74573911722925,1.10946909684778,0.359,11.609070989086,13.6789614768299,13.2193290173517,3.0904431667069
"YCL040W","NC_001135.5","50838","52340","+",1503,2810,2255,1202,1399,3903.70490769335,2768.43371719007,1901.45947296985,1552.14726649004,1.502,2599.00459899691,1843.16492489352,1265.9517130292,1033.38699500003
"YCL039W","NC_001135.5","52645","54882","+",2238,117,86,42,62,162.538602918193,105.581064158912,66.4403476412095,68.7870840045621,2.237,72.6591877148829,47.1976147335323,29.7006471350959,30.7497022818785
"YCL038C","NC_001135.5","54941","56527","-",1587,80,46,32,30,111.13750626885,56.4735924570923,50.6212172504453,33.2840729054333,1.586,70.0740897029319,35.6075614483558,31.9175392499655,20.9861745935897
"YCL037C","NC_001135.5","57374","58678","-",1305,3,6,10,32,4.16765648508187,7.36612075527291,15.8191303907642,35.5030110991288,1.304,3.19605558671923,5.64886560987187,12.1312349622425,27.2262355054669
"YCL036W","NC_001135.5","59026","60726","+",1701,12,6,10,12,16.6706259403275,7.36612075527291,15.8191303907642,13.3136291621733,1.7,9.80625055313382,4.33301220898407,9.30537081809656,7.8315465659843
"YCL035C","NC_001135.5","60841","61173","-",333,283,260,128,143,393.148928426057,319.198566061826,202.484869001781,158.654080849232,0.332,1184.18351935559,961.441464041645,609.894183740305,477.873737497687
"YCL034W","NC_001135.5","61658","62722","+",1065,199,137,101,155,276.454546843764,168.193090578732,159.773216946718,171.967710011405,1.064,259.825701920831,158.076212949936,150.162797882254,161.623787604704
"YCL033C","NC_001135.5","62776","63282","-",507,54,47,16,21,75.0178167314737,57.7012792496378,25.3106086252227,23.2988510338033,0.506,148.256554805284,114.034148714699,50.0209656624954,46.0451601458563
"YCL032W","NC_001135.5","63441","64481","+",1041,55,75,42,52,76.4070355598343,92.0765094409114,66.4403476412095,57.6923930360844,1.04,73.4683034229176,88.5351052316456,63.8849496550091,55.4734548423888
"YCL031C","NC_001135.5","64675","65568","-",894,42,49,65,109,58.3471907911462,60.1566528347288,102.824347539967,120.932131556408,0.893,65.338399542157,67.3646728272439,115.144846069392,135.422319772013
"YCL030C","NC_001135.5","65934","68333","-",2400,391,2037,313,427,543.184561889004,2500.79799641515,495.138781230918,473.743304354,2.399,226.421242971657,1042.43351246984,206.393822939107,197.475324866194
"YCL029C","NC_001135.5","68599","69921","-",1323,38,30,40,48,52.7903154777037,36.8306037763646,63.2765215630566,53.2545166486933,1.322,39.9321599680058,27.8597607990655,47.8642371883938,40.2832954982551
"YCL028W","NC_001135.5","70150","71367","+",1218,138,159,96,126,191.712198313766,195.202200014732,151.863651751336,139.79310620282,1.217,157.528511350671,160.396220225745,124.785252055329,114.866973050797
"YCL027W","NC_001135.5","71803","73341","+",1539,8,9,6,5,11.113750626885,11.0491811329094,9.4914782344585,5.54734548423888,1.538,7.22610573919701,7.18412297328308,6.17131224607184,3.6068566217418
"YCL026C-B","NC_001135.5","73405","73986","-",582,36,29,22,25,50.0118778209825,35.6029169838191,34.8020868596812,27.7367274211944,0.581,86.078963547302,61.2786867191378,59.9003216173514,47.739634115653
"YCL026C-A","NC_001135.5","74704","75285","-",582,2,3,1,0,2.77843765672125,3.68306037763646,1.58191303907642,0,0.581,4.78216464151678,6.33917448818667,2.72274189169779,0
"YCL025C","NC_001135.5","76018","77919","-",1902,103,810,366,439,143.089539321144,994.426301961843,578.980172301968,487.056933516174,1.901,75.2706677123326,523.106944745841,304.566108522866,256.210906636599
"YCL024W","NC_001135.5","79162","82275","+",3114,24,25,34,49,33.341251880655,30.6921698136371,53.7850433285981,54.363985745541,3.113,10.710328262337,9.85935426072507,17.2775596943778,17.4635354145651
"YNCC0001C","NC_001135.5","82462","82533","-",72,0,0,0,0,0,0,0,0,0.071,0,0,0,0
"YCL021W-A","NC_001135.5","83620","83997","+",378,3,5,5,5,4.16765648508187,6.13843396272743,7.90956519538208,5.54734548423888,0.377,11.0547917376177,16.282318203521,20.9802790328437,14.7144442552755
"YCL019W","NC_001135.5","85102","90415","+",5314,78,99,54,66,108.359068612129,121.540992462003,85.4233041101265,73.2249603919532,5.313,20.3950816134253,22.876151413891,16.0781675343735,13.7822248055624
"YCL020W","NC_001135.5","85102","86418","+",1317,0,0,0,0,0,0,0,0,1.316,0,0,0,0
"YNCC0002W","NC_001135.5;NC_001135.5","90859;90929","90896;90972","+;+",82,1,0,0,0,1.38921882836062,0,0,0,0.113,12.2939719323949,0,0,0
"YCL018W","NC_001135.5","91324","92418","+",1095,331,1288,441,734,459.831432187367,1581.26058879859,697.623650232699,814.350317086268,1.094,420.321236003077,1445.39359122357,637.681581565539,744.37871762913
"YCL017C","NC_001135.5","92777","94270","-",1494,132,137,71,106,183.376885343602,168.193090578732,112.315825774426,117.603724265864,1.493,122.824437604556,112.654447808929,75.2282825012897,78.7700765344034
"YCL016C","NC_001135.5","94621","95763","-",1143,17,15,20,36,23.6167200821306,18.4153018881823,31.6382607815283,39.9408874865199,1.142,20.680140176997,16.125483264608,27.7042563761194,34.9745074312784
"YCL014W","NC_001135.5","96281","101191","+",4911,71,53,52,68,98.6345368136043,65.0674000049107,82.2594780319736,75.4438985856488,4.91,20.0885003693695,13.2520162942792,16.7534578476525,15.3653561274234
"YCL012C","NC_001135.5;NC_001135.5","101317;101701","101633;101788","-;-",405,25,23,9,13,34.7304707090156,28.2367962285462,14.2372173516877,14.4230982590211,0.471,73.7377297431329,59.9507350924547,30.2276376893583,30.6222892972847
"YCL011C","NC_001135.5","102075","103358","-",1284,173,151,158,248,240.334857306388,185.380705674368,249.942260174074,275.148336018249,1.283,187.322569997185,144.490027805431,194.810802941601,214.457003911339
"YCL010C","NC_001135.5","103571","104350","-",780,65,40,40,68,90.2992238434406,49.1074717018194,63.2765215630566,75.4438985856488,0.779,115.916847039076,63.0391164336578,81.2278839063628,96.8471098660447
"YCL009C","NC_001135.5","104619","105548","-",930,180,722,150,219,250.059389104912,886.389864217841,237.286955861462,242.973732209663,0.929,269.170494192586,954.133330697353,255.421911583921,261.543307007172
"YCL008C","NC_001135.5","105696","106853","-",1158,55,61,53,84,76.4070355598343,74.8888943452746,83.84139107105,93.1954041352132,1.157,66.0389244250945,64.7267885438847,72.4644693786085,80.5491824850589
"YCL005W-A","NC_001135.5;NC_001135.5;NC_001135.5","107023;107111;107288","107033;107191;107417","+;+;+",222,34,57,40,46,47.2334401642612,69.9781471750927,63.2765215630566,51.0355784549977,0.394,119.881827828074,177.609510596682,160.600308535677,129.531925012685
"YNCC0003C","NC_001135.5","107504","107712","-",209,7,6,4,2,9.72453179852437,7.36612075527291,6.32765215630566,2.21893819369555,0.208,46.7525567236749,35.4140420926582,30.4214045976234,10.6679720850748
"YCL005W","NC_001135.5","108021","108791","+",771,20,23,15,39,27.7843765672125,28.2367962285462,23.7286955861462,43.2692947770633,0.77,36.0836059314448,36.6711639331768,30.8164877742159,56.1938893208614
"YCL004W","NC_001135.5","109105","110670","+",1566,28,29,25,32,38.8981271940975,35.6029169838191,39.5478259769104,35.5030110991288,1.565,24.855033350861,22.7494677212902,25.2701763430737,22.68563009529
"YCL002C","NC_001135.5;NC_001135.5","110808;111634","111557;111675","-;-",792,23,17,13,34,31.9520330522944,20.8706754732733,20.5648695079934,37.7219492928244,0.867,36.8535560003395,24.0722900499115,23.7195726735795,43.5085920332461
"YCL001W","NC_001135.5","111916","112482","+",567,55,67,46,74,76.4070355598343,82.2550151005475,72.7679997975151,82.1007131667354,0.566,134.994762473206,145.326881803088,128.565370666988,145.054263545469
"YCL001W-A","NC_001135.5","113080","113541","+",462,3,2,0,0,4.16765648508187,2.45537358509097,0,0,0.461,9.04046959887608,5.32618998935135,0,0
"YCL001W-B","NC_001135.5","113770","114024","+",255,0,3,2,2,0,3.68306037763646,3.16382607815283,2.21893819369555,0.254,0,14.5002377072301,12.4560081817041,8.73597714053367
"YCR001W","NC_001135.5","115685","115999","+",315,2,0,0,6,2.77843765672125,0,0,6.65681458108666,0.314,8.84852756917595,0,0,21.2000464365817
"YCR002C","NC_001135.5","117380","118348","-",969,117,121,73,128,162.538602918193,148.550101898004,115.479651852578,142.012044396515,0.968,167.911779874166,153.460849068186,119.29716100473,146.706657434417
"YCR003W","NC_001135.5","118620","119171","+",552,27,32,13,15,37.5089083657369,39.2859773614555,20.5648695079934,16.6420364527166,0.551,68.0742438579616,71.2994144491026,37.3228121742167,30.2033329450393
"YCR004C","NC_001135.5","119575","120318","-",744,425,472,230,274,590.418002053265,579.468166081469,363.839998987576,303.994532536291,0.743,794.640648793089,779.903319086769,489.69044278274,409.144727505102
"YCR005C","NC_001135.5","120946","122328","-",1383,227,148,143,321,315.352674037862,181.697645296732,226.213564587927,356.139580088136,1.382,228.185726510754,131.474417725566,163.685647313985,257.698683131792
"YCR006C","NC_001135.5","122530","123003","-",474,3,2,2,3,4.16765648508187,2.45537358509097,3.16382607815283,3.32840729054333,0.473,8.81111307628303,5.19106466192594,6.68885005951973,7.03680188275545
"YNCC0004C","NC_001135.5","123577","123648","-",72,1,1,4,0,1.38921882836062,1.22768679254549,6.32765215630566,0,0.071,19.5664623712764,17.2913632752885,89.1218613564178,0
"YCR007C","NC_001135.5","126011","126730","-",720,20,10,8,8,27.7843765672125,12.2768679254549,12.6553043126113,8.87575277478221,0.719,38.6430828473053,17.0749206195478,17.6012577365943,12.3445796589461
"YNCC0005W","NC_001135.5","127716","127789","+",74,0,0,0,0,0,0,0,0,0.073,0,0,0,0
"YCR008W","NC_001135.5","128470","130281","+",1812,108,103,91,115,150.035633462947,126.451739632185,143.954086555954,127.588946137494,1.811,82.846843436194,69.8242626351105,79.4887280816973,70.4522065916589
"YCR009C","NC_001135.5","130745","131542","-",798,158,157,96,145,219.496574880979,192.746826429641,151.863651751336,160.873019042928,0.797,275.403481657439,241.840434667053,190.544105083232,201.8482045708
"YCR010C","NC_001135.5","132273","133124","-",852,11,2,4,2,15.2814071119669,2.45537358509097,6.32765215630566,2.21893819369555,0.851,17.9570001315709,2.88528035850878,7.43554894983039,2.60744793618749
"YCR011C","NC_001135.5","133724","136873","-",3150,383,278,190,219,532.070811262119,341.296928327645,300.563477424519,242.973732209663,3.149,168.965008339828,108.38263840192,95.4472776832388,77.1590130865872
"YCR012W","NC_001135.5","137746","138996","+",1251,4953,6489,2523,3566,6880.80085687017,7966.45959682766,3991.1665975898,3956.36679935917,1.25,5504.64068549614,6373.16767746213,3192.93327807184,3165.09343948734
"YCR014C","NC_001135.5","139185","140933","-",1749,24,12,22,20,33.341251880655,14.7322415105458,34.8020868596812,22.1893819369555,1.748,19.0739427234868,8.42805578406512,19.9096606748748,12.6941544261759
"YCR015C","NC_001135.5","141217","142170","-",954,29,15,13,8,40.2873460224581,18.4153018881823,20.5648695079934,8.87575277478221,0.953,42.274235070785,19.3235067032343,21.579086577118,9.31348664720064
"YNCC0006C","NC_001135.5","142364","142546","-",183,7,4,8,12,9.72453179852437,4.91074717018194,12.6553043126113,13.3136291621733,0.182,53.4314933984856,26.982127308692,69.534639080282,73.1518085833699
"YNCC0007C","NC_001135.5","142701","142771","-",71,0,0,0,0,0,0,0,0,0.07,0,0,0,0
"YCR016W","NC_001135.5","143634","144506","+",873,21,26,34,59,29.1735953955731,31.9198566061826,53.7850433285981,65.4586767140188,0.872,33.4559580224462,36.6053401447049,61.680095560319,75.0672898096546
"YCR017C","NC_001135.5","144773","147634","-",2862,205,210,148,182,284.789859813928,257.814226434552,234.12312978331,201.923375626295,2.861,99.5420691415337,90.11332626164,81.8326213852882,70.577901302445
"YCR018C","NC_001135.5","148238","148903","-",666,18,24,13,19,25.0059389104912,29.4644830210917,20.5648695079934,21.0799128401078,0.665,37.602915654874,44.3074932647995,30.9246158014938,31.6991170527936
"YNCC0008W","NC_001135.5","149920","149991","+",72,0,0,0,0,0,0,0,0,0.071,0,0,0,0
"YNCC0009C","NC_001135.5","151284","151356","-",73,0,0,0,0,0,0,0,0,0.072,0,0,0,0
"YCR019W","NC_001135.5","152837","153928","+",1092,28,28,21,37,38.8981271940975,34.3752301912736,33.2201738206047,41.0503565833677,1.091,35.6536454574679,31.5080020085001,30.4492885615076,37.62635800492
"YCR020C","NC_001135.5","154012","154659","-",648,8,2,2,13,11.113750626885,2.45537358509097,3.16382607815283,14.4230982590211,0.647,17.1773580013678,3.79501326907414,4.88999393841241,22.2922693338811
"YCR020C-A","NC_001135.5","154830","155096","-",267,19,10,9,17,26.3951577388519,12.2768679254549,14.2372173516877,18.8609746464122,0.266,99.2299163114732,46.1536388174995,53.5233735025855,70.9059197233541
"YCR020W-B","NC_001135.5","155320","155556","+",237,9,1,2,8,12.5029694552456,1.22768679254549,3.16382607815283,8.87575277478221,0.236,52.9786841323967,5.20206268027748,13.4060427040374,37.6091219270433
"YCR021C","NC_001135.5","156109","157107","-",999,304,261,93,204,422.32252382163,320.426252854372,147.117912634107,226.331695756946,0.998,423.168861544719,321.068389633639,147.412738110327,226.785266289525
"YCR022C","NC_001135.5","157421","157765","-",345,1,0,1,0,1.38921882836062,0,1.58191303907642,0,0.344,4.03842682662972,0,4.59858441591981,0
"YCR023C","NC_001135.5","158538","160373","-",1836,89,52,28,63,123.640475724096,63.8397132123653,44.2935650941396,69.8965531014099,1.835,67.3790058441938,34.7900344481555,24.1381826126102,38.0907646329209
"YCR024C","NC_001135.5","160744","162222","-",1479,25,25,20,24,34.7304707090156,30.6921698136371,31.6382607815283,26.6272583243466,1.478,23.4982887070471,20.7660147588885,21.4061304340516,18.015736349355
"YCR024C-B","NC_001135.5","162599","162865","-",267,236,198,165,289,327.855643493107,243.081984924006,261.015651447609,320.636568989007,0.266,1232.54001313198,913.842048586489,981.261847547401,1205.40063529702
"YCR024C-A","NC_001135.5","162945","163067","-",123,119,118,116,151,165.317040574914,144.867041520367,183.501912532864,167.529833624014,0.122,1355.05770963045,1187.43476656039,1504.11403715463,1373.19535757389
"YCR025C","NC_001135.5","163446","163856","-",411,3,2,3,3,4.16765648508187,2.45537358509097,4.74573911722925,3.32840729054333,0.41,10.1650158172729,5.98871606119749,11.5749734566567,8.1180665623008
"YCR026C","NC_001135.5","164111","166339","-",2229,82,65,54,80,113.915943925571,79.7996415154566,85.4233041101265,88.7575277478221,2.228,51.129238745768,35.8167152223773,38.3408007675612,39.8373104792738
"YCR027C","NC_001135.5","167370","167999","-",630,16,14,21,22,22.22750125377,17.1876150956368,33.2201738206047,24.4083201306511,0.629,35.3378398311129,27.3253022188184,52.8142668054129,38.8049604620844
"YNCC0010C","NC_001135.5","168301","168372","-",72,0,0,0,0,0,0,0,0,0.071,0,0,0,0
"YCR028C","NC_001135.5","170886","172424","-",1539,41,21,34,39,56.9579719627856,25.7814226434552,53.7850433285981,43.2692947770633,1.538,37.0337919133847,16.7629536043272,34.9707693944071,28.133481649586
"YCR028C-A","NC_001135.5;NC_001135.5","172950;173199","173115;173440","-;-",408,84,75,44,72,116.694381582292,92.0765094409114,69.6041737193623,79.8817749730399,0.49,238.151799147536,187.911243756962,142.049334121148,163.024030557224
"YCR030C","NC_001135.5","173826","176438","-",2613,239,231,162,205,332.023299978189,283.595649078007,256.269912330379,227.441164853794,2.612,127.114586515386,108.574138238134,98.1125238630855,87.0754842472412
"YNCC0011W","NC_001135.5","177183","177282","+",100,0,0,0,0,0,0,0,0,0.099,0,0,0,0
"YCR031C","NC_001135.5;NC_001135.5","177500;178214","177906;178220","-;-",414,408,746,1391,2014,566.801281971135,915.854347238932,2200.44103735529,2234.47076105142,0.72,787.224002737687,1272.01992672074,3056.16810743791,3103.43161257142
"YNCC0012C","NC_001135.5","178610","178798","-",189,1,0,1,2,1.38921882836062,0,1.58191303907642,2.21893819369555,0.188,7.38946185298204,0,8.41443105891711,11.8028627324232
"YCR032W","NC_001135.5","179520","186023","+",6504,99,55,51,58,137.532664007702,67.5227735900017,80.6775649928972,64.349207617171,6.503,21.1491102579889,10.3833267092114,12.4062071340762,9.89531102832093
"YCR033W","NC_001135.5","186489","190169","+",3681,138,101,101,156,191.712198313766,123.996366047094,159.773216946718,173.077179108253,3.68,52.0957060635234,33.6946646867103,43.416635039869,47.0318421489818
"YCR034W","NC_001135.5","190592","191635","+",1044,66,88,103,150,91.6884426718012,108.036437744003,162.937043024871,166.420364527166,1.043,87.9083822356675,103.582394768938,156.2196002156,159.559314024129
"YCR035C","NC_001135.5","191834","193018","-",1185,53,61,56,78,73.6285979031131,74.8888943452746,88.5871301882793,86.5385895541266,1.184,62.1863157965482,63.2507553591847,74.8202113076683,73.0900249612555
"YCR036W","NC_001135.5","193297","194298","+",1002,114,61,53,84,158.370946433111,74.8888943452746,83.84139107105,93.1954041352132,1.001,158.212733699412,74.8140802650096,83.7576334376124,93.1023018333798
"YCR037C","NC_001135.5","194414","197185","-",2772,66,51,59,79,91.6884426718012,62.6120264198198,93.3328693055085,87.6480586509743,2.771,33.0885754860344,22.5954624394875,33.6820170716379,31.6304794842924
"YCR038C","NC_001135.5","197621","199549","-",1929,19,18,15,18,26.3951577388519,22.0983622658187,23.7286955861462,19.97044374326,1.928,13.6904345118526,11.4618061544703,12.3074147231049,10.3581139747199
"YCR039C","NC_001135.5","199546","200178","-",633,16,9,9,13,22.22750125377,11.0491811329094,14.2372173516877,14.4230982590211,0.632,35.1700969205221,17.4828815394136,22.5272426450755,22.8213580047802
"YCR040W","NC_001135.5","200442","200969","+",528,0,0,0,0,0,0,0,0,0.527,0,0,0,0
"YCR041W","NC_001135.5","200911","201243","+",333,1,2,1,3,1.38921882836062,2.45537358509097,1.58191303907642,3.32840729054333,0.332,4.18439406132718,7.39570356955112,4.76479831047113,10.0253231642871
"YCR042C","NC_001135.5","201174","205397","-",4224,97,102,82,112,134.754226350981,125.22405283964,129.716869204266,124.260538846951,4.223,31.9095965784941,29.6528659340847,30.7167580403188,29.4247072808314
"YCR043C","NC_001135.5","206261","206644","-",384,21,22,32,33,29.1735953955731,27.0091094360007,50.6212172504453,36.6124801959766,0.383,76.1712673513658,70.5198679791141,132.170280027272,95.593943070435
"YCR044C","NC_001135.5","206877","207950","-",1074,57,54,33,46,79.1854732165556,66.2950867974562,52.2031302895217,51.0355784549977,1.073,73.7982043024749,61.7847966425501,48.6515659734592,47.5634468359718
"YCR045C","NC_001135.5","208135","209610","-",1476,31,9,19,27,43.0657836791794,11.0491811329094,30.0563477424519,29.95566561489,1.475,29.1971414774097,7.49097025959957,20.3771849101369,20.3089258406034
"YCR046C","NC_001135.5","209914","210423","-",510,54,40,26,34,75.0178167314737,49.1074717018194,41.1297390159868,37.7219492928244,0.509,147.382744069693,96.4783334023957,80.804988243589,74.1099200251953
"YCR047C","NC_001135.5","210718","211545","-",828,21,9,43,74,29.1735953955731,11.0491811329094,68.0222606802859,82.1007131667354,0.827,35.2764152304391,13.3605575972302,82.2518266992574,99.2753484482895
"YCR048W","NC_001135.5","211929","213761","+",1833,42,35,39,69,58.3471907911462,42.969037739092,61.6946085239802,76.5533676824966,1.832,31.8489032702763,23.4547149230852,33.6760963558844,41.7867727524545
"YCR050C","NC_001135.5","213464","213772","-",309,2,0,0,0,2.77843765672125,0,0,0,0.308,9.0209014828612,0,0,0
"YCR051W","NC_001135.5","214071","214739","+",669,37,50,77,131,51.4010966493431,61.3843396272743,121.807304008884,145.340451687059,0.668,76.9477494750645,91.8927239929256,182.346263486353,217.575526477633
"YCR052W","NC_001135.5","214994","216445","+",1452,52,68,51,92,72.2393790747525,83.482701893093,80.6775649928972,102.071156909995,1.451,49.7859263092712,57.5345981344542,55.6013542335611,70.3453872570609
"YCR053W","NC_001135.5","216697","218241","+",1545,169,447,181,249,234.777981992946,548.775996267832,286.326260072831,276.257805115096,1.544,152.05827849284,355.424868049114,185.444468959088,178.923448908741
"YCR054C","NC_001135.5","218376","220067","-",1692,21,13,12,19,29.1735953955731,15.9599283030913,18.982956468917,21.0799128401078,1.691,17.2522740364122,9.43815984807292,11.2258760904299,12.465944908402
"YCR057C","NC_001135.5","220457","223228","-",2772,25,17,39,65,34.7304707090156,20.8706754732733,61.6946085239802,72.1154912951055,2.771,12.5335513204676,7.53182081316249,22.2643841659979,26.0250780566963
"YCR059C","NC_001135.5","223454","224230","-",777,36,38,46,68,50.0118778209825,46.6520981167285,72.7679997975151,75.4438985856488,0.776,64.4482961610599,60.118683140114,93.7731956153546,97.2215187959392
"YCR060W","NC_001135.5","224399","224734","+",336,15,18,11,30,20.8382824254094,22.0983622658187,17.4010434298406,33.2840729054333,0.335,62.2038281355503,65.9652604949813,51.9434132234047,99.3554415087561
"YCR061W","NC_001135.5","225563","227458","+",1896,73,59,39,54,101.412974470326,72.4335207601837,61.6946085239802,59.9113312297799,1.895,53.5160815146837,38.2234938048463,32.5565216485384,31.6154782215197
"YNCC0013W","NC_001135.5;NC_001135.5","227942;227998","227978;228042","+;+",82,0,0,1,0,0,0,1.58191303907642,0,0.1,0,0,15.8191303907642,0
"YCR063W","NC_001135.5","228318","228791","+",474,2,1,5,6,2.77843765672125,1.22768679254549,7.90956519538208,6.65681458108666,0.473,5.87407538418869,2.59553233096297,16.7221251487993,14.0736037655109
"YCR065W","NC_001135.5","229310","231004","+",1695,43,12,27,30,59.7364096195069,14.7322415105458,42.7116520550632,33.2840729054333,1.694,35.2635239784574,8.69671871933048,25.2134899970857,19.6482130492522
"YCR066W","NC_001135.5","231500","232963","+",1464,17,20,14,23,23.6167200821306,24.5537358509097,22.1467825470698,25.5177892274989,1.463,16.1426658114358,16.7831413881816,15.1379238189131,17.4420978998625
"YCR067C","NC_001135.5","233125","236322","-",3198,121,136,93,138,168.095478231636,166.965403786186,147.117912634107,153.106735364993,3.197,52.5791298816502,52.225650230274,46.0174890941841,47.8907523819184
"YCR068W","NC_001135.5","237214","238776","+",1563,68,49,38,45,94.4668803285225,60.1566528347288,60.1126954849038,49.9261093581499,1.562,60.4781564203089,38.5125818404154,38.4844401311804,31.9629381294174
"YCR069W","NC_001135.5","239055","240011","+",957,132,134,47,84,183.376885343602,164.510030201095,74.3499128365915,93.1954041352132,0.956,191.816825673224,172.081621549263,77.7718753520832,97.4847323590096
