# Program:featureCounts v2.0.6; Command:"featureCounts" "-a" "/home/ibab/Desktop/DIBYENDU/s3/RA/rnaseq/GCF_000146045.2_R64_genomic_copy.gtf" "-o" "gene_counts.txt" "conA_rep1_sorted.bam" "conA_rep2_sorted.bam" "conB_rep1_sorted.bam" "conB_rep2_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	conA_rep1_sorted.bam	conA_rep2_sorted.bam	conB_rep1_sorted.bam	conB_rep2_sorted.bam
YDL124W	NC_001136.10	240259	241197	+	939	934	762	348	478
YDL123W	NC_001136.10	241418	241840	+	423	50	31	25	34
YDL122W	NC_001136.10	242552	244981	+	2430	80	93	97	170
YDL121C	NC_001136.10	245133	245582	-	450	21	31	28	36
YDL120W	NC_001136.10	245923	246447	+	525	56	71	47	50
YDL119C	NC_001136.10	246689	247612	-	924	19	26	25	21
YDL117W	NC_001136.10	248581	251238	+	2658	48	64	48	81
YDL116W	NC_001136.10	251566	253746	+	2181	69	64	66	98
YDL115C	NC_001136.10;NC_001136.10	253995;255045	254974;255126	-;-	1062	129	102	68	78
YDL114W	NC_001136.10	255604	256530	+	927	2	1	0	2
YDL113C	NC_001136.10	256633	258555	-	1923	129	99	76	100
YDL112W	NC_001136.10	258915	263225	+	4311	48	65	59	114
YDL111C	NC_001136.10	263313	264110	-	798	27	44	40	72
YDL110C	NC_001136.10	264512	264964	-	453	237	237	108	108
YDL109C	NC_001136.10	265258	267201	-	1944	25	6	9	22
YDL108W	NC_001136.10;NC_001136.10	267698;267807	267725;268699	+;+	921	30	24	21	34
YDL107W	NC_001136.10	268921	269976	+	1056	34	22	11	13
YDL106C	NC_001136.10	270222	271901	-	1680	69	63	54	67
YDL105W	NC_001136.10	272389	273597	+	1209	11	7	9	11
YDL104C	NC_001136.10	273653	274876	-	1224	22	16	10	8
YDL103C	NC_001136.10	275148	276581	-	1434	87	77	49	64
YDL102W	NC_001136.10	276872	280165	+	3294	38	25	38	50
YDL101C	NC_001136.10	280307	281848	-	1542	37	28	30	44
YDL100C	NC_001136.10	282112	283176	-	1065	244	265	154	251
YDL099W	NC_001136.10	283419	284444	+	1026	87	93	76	128
YDL098C	NC_001136.10	284581	285165	-	585	3	10	5	12
YDL097C	NC_001136.10	285391	286695	-	1305	375	400	221	311
YDL095W	NC_001136.10	287059	289512	+	2454	255	230	228	322
YDL093W	NC_001136.10	289909	292140	+	2232	41	36	24	38
YDL092W	NC_001136.10	292781	293221	+	441	30	59	45	87
YDL091C	NC_001136.10	293392	294759	-	1368	65	59	33	50
YDL090C	NC_001136.10	295034	296329	-	1296	31	36	24	31
YDL089W	NC_001136.10	296820	298274	+	1455	51	43	25	42
YDL088C	NC_001136.10	298417	300003	-	1587	80	68	44	93
YDL087C	NC_001136.10	300214	300999	-	786	21	13	9	19
YDL086W	NC_001136.10	301413	302234	+	822	192	170	106	146
YDL085C-A	NC_001136.10	302464	302670	-	207	10	15	18	29
YDL085W	NC_001136.10	303211	304848	+	1638	55	43	10	9
YDL084W	NC_001136.10	305237	306577	+	1341	351	343	308	439
YDL083C	NC_001136.10;NC_001136.10	306926;307766	307333;307789	-;-	432	216	456	784	1165
YDL082W	NC_001136.10;NC_001136.10	308424;308793	308427;309388	+;+	600	146	274	487	747
YDL081C	NC_001136.10	309802	310122	-	321	288	647	940	1293
YDL080C	NC_001136.10	310642	312471	-	1830	44	37	33	55
YDL079C	NC_001136.10;NC_001136.10	312951;314337	314044;314748	-;-	1506	291	253	144	149
YDL078C	NC_001136.10	315357	316388	-	1032	269	254	110	168
YDL077C	NC_001136.10	316971	320120	-	3150	70	39	55	79
YDL076C	NC_001136.10	320668	321552	-	885	33	49	42	33
YDL075W	NC_001136.10;NC_001136.10	322226;322704	322282;322988	+;+	342	228	493	778	1106
YNCD0002C	NC_001136.10	323217	323471	-	255	1	1	2	7
YDL074C	NC_001136.10	324047	326149	-	2103	102	71	79	131
YDL073W	NC_001136.10	326613	329567	+	2955	37	32	31	62
YDL072C	NC_001136.10	329836	330447	-	612	137	186	100	126
YDL070W	NC_001136.10	331024	332940	+	1917	119	125	85	115
YDL069C	NC_001136.10	333121	333810	-	690	16	8	11	12
YDL067C	NC_001136.10	334217	334396	-	180	116	94	63	98
YDL066W	NC_001136.10	334835	336121	+	1287	219	372	111	152
YDL065C	NC_001136.10	336249	337277	-	1029	75	63	49	74
YDL064W	NC_001136.10;NC_001136.10	337487;337635	337524;338070	+;+	474	44	36	24	43
YDL063C	NC_001136.10	338272	340134	-	1863	17	17	32	53
YDL061C	NC_001136.10	340628	340798	-	171	96	174	233	382
YDL060W	NC_001136.10	341619	343985	+	2367	29	25	57	95
YDL059C	NC_001136.10	344237	344953	-	717	59	14	12	16
YDL058W	NC_001136.10	345665	351037	+	5373	83	94	88	124
YDL057W	NC_001136.10	351434	352420	+	987	16	14	11	14
YDL056W	NC_001136.10	352877	355378	+	2502	71	65	48	76
YDL055C	NC_001136.10	355674	356759	-	1086	580	589	433	667
YNCD0003W	NC_001136.10;NC_001136.10	359577;359637	359613;359672	+;+	73	0	0	0	0
YDL054C	NC_001136.10	359825	361285	-	1461	61	82	49	55
YDL053C	NC_001136.10	361699	362256	-	558	53	55	40	63
YDL052C	NC_001136.10	362672	363583	-	912	109	72	72	95
YDL051W	NC_001136.10	363952	364779	+	828	28	58	81	148
YDL049C	NC_001136.10	365068	365874	-	807	18	12	9	14
YDL048C	NC_001136.10	366739	368211	-	1473	84	140	138	221
YDL047W	NC_001136.10	369771	370706	+	936	103	87	85	119
YDL046W	NC_001136.10	371240	371761	+	522	254	194	152	196
YDL045W-A	NC_001136.10	372248	372535	+	288	19	20	17	23
YDL045C	NC_001136.10	372688	373608	-	921	54	53	27	43
YDL044C	NC_001136.10	373967	375289	-	1323	19	16	19	30
YDL043C	NC_001136.10	375680	376480	-	801	22	12	24	36
YDL042C	NC_001136.10	376757	378445	-	1689	28	22	13	31
YDL040C	NC_001136.10	378874	381438	-	2565	170	199	135	179
YDL039C	NC_001136.10	381985	384081	-	2097	12	13	21	51
YDL037C	NC_001136.10	384601	385587	-	987	5	6	17	23
YDL036C	NC_001136.10	387513	388901	-	1389	20	39	43	49
YDL035C	NC_001136.10	389172	392057	-	2886	89	99	74	114
YDL033C	NC_001136.10	392659	393912	-	1254	31	30	19	29
YDL031W	NC_001136.10	394217	397204	+	2988	36	58	75	141
YDL030W	NC_001136.10	397537	399129	+	1593	46	12	23	37
YDL029W	NC_001136.10;NC_001136.10	399340;399485	399361;400638	+;+	1176	247	309	166	182
YDL028C	NC_001136.10	400997	403291	-	2295	72	68	38	55
YDL027C	NC_001136.10	403695	404957	-	1263	94	71	58	67
YDL025C	NC_001136.10	405344	407206	-	1863	120	178	75	97
YDL024C	NC_001136.10	408451	409857	-	1407	12	6	4	7
YDL022C-A	NC_001136.10	409808	410056	-	249	2	0	0	0
YNCD0004W	NC_001136.10	410379	410451	+	73	0	0	0	0
YDL022W	NC_001136.10	411825	413000	+	1176	664	774	478	640
YDL021W	NC_001136.10	413953	414888	+	936	60	76	9	20
YDL020C	NC_001136.10	415113	416708	-	1596	174	119	97	171
YDL019C	NC_001136.10	417663	421514	-	3852	386	339	240	287
YDL018C	NC_001136.10	422833	423510	-	678	38	49	29	38
YDL017W	NC_001136.10	424209	425732	+	1524	30	38	22	30
YDL015C	NC_001136.10	426002	426934	-	933	135	130	103	143
YDL014W	NC_001136.10	427364	428347	+	984	81	176	371	706
YDL013W	NC_001136.10	429067	430926	+	1860	47	35	38	71
YDL012C	NC_001136.10;NC_001136.10	431108;431473	431386;431517	-;-	324	33	34	28	33
YDL010W	NC_001136.10	432330	433025	+	696	33	34	19	32
YDL009C	NC_001136.10	432925	433248	-	324	9	10	5	14
YDL008W	NC_001136.10	433497	433994	+	498	20	21	20	18
YNCD0005C	NC_001136.10	434264	434336	-	73	0	0	0	0
YDL007C-A	NC_001136.10	436567	436824	-	258	0	0	0	0
YNCD0006W	NC_001136.10	437772	437853	+	82	0	0	0	0
YDL007W	NC_001136.10	438047	439360	+	1314	313	371	193	263
YDL006W	NC_001136.10	439909	440754	+	846	60	38	33	45
YDL005C	NC_001136.10	441014	442309	-	1296	75	56	75	82
YDL004W	NC_001136.10	443029	443511	+	483	307	277	175	243
YDL003W	NC_001136.10	444683	446383	+	1701	42	35	38	45
YDL002C	NC_001136.10	446967	447578	-	612	40	33	44	52
YDL001W	NC_001136.10	447984	449276	+	1293	30	24	31	38
YDR001C	NC_001136.10	450220	452475	-	2256	759	641	374	521
YDR002W	NC_001136.10	453045	453650	+	606	209	223	200	309
YDR003W	NC_001136.10	454122	454754	+	633	66	37	36	47
YDR003W-A	NC_001136.10	454782	454904	+	123	22	12	10	5
YDR004W	NC_001136.10	455201	456583	+	1383	48	22	27	32
YDR005C	NC_001136.10;NC_001136.10	456836;458098	458017;458103	-;-	1188	72	73	53	71
YDR006C	NC_001136.10	458542	461247	-	2706	67	73	57	97
YDR007W	NC_001136.10	461842	462516	+	675	54	50	41	50
YDR009W	NC_001136.10	463434	464996	+	1563	20	18	8	12
YDR010C	NC_001136.10	465051	465383	-	333	2	4	2	1
YDR011W	NC_001136.10	465919	470424	+	4506	207	197	163	234
YDR012W	NC_001136.10	471853	472941	+	1089	780	1212	2133	3372
YDR013W	NC_001136.10	473157	473783	+	627	16	6	12	27
YDR014W	NC_001136.10	474046	475989	+	1944	25	23	10	26
YDR014W-A	NC_001136.10	477797	478285	+	489	1	0	2	2
YDR016C	NC_001136.10	478474	478758	-	285	18	16	14	14
YDR017C	NC_001136.10	479115	482267	-	3153	77	60	39	79
YDR018C	NC_001136.10	482670	483860	-	1191	36	12	13	12
YDR019C	NC_001136.10	484163	485365	-	1203	396	349	231	323
YDR020C	NC_001136.10	485746	486444	-	699	14	12	15	19
YDR021W	NC_001136.10	486804	488003	+	1200	3	2	11	11
YDR022C	NC_001136.10	488072	488662	-	591	19	20	11	14
YNCD0007C	NC_001136.10	488797	488870	-	74	0	0	0	0
YDR023W	NC_001136.10	489508	490896	+	1389	208	376	339	574
YDR025W	NC_001136.10;NC_001136.10	491515;491899	491559;492324	+;+	471	194	480	687	987
YDR026C	NC_001136.10	492556	494268	-	1713	29	45	42	81
YDR027C	NC_001136.10	494649	497318	-	2670	100	87	75	96
YDR028C	NC_001136.10	497835	500879	-	3045	243	262	175	216
YDR029W	NC_001136.10	501100	501414	+	315	11	11	14	12
YDR030C	NC_001136.10	501753	503273	-	1521	27	16	8	14
YDR031W	NC_001136.10	503498	503863	+	366	41	32	9	13
YDR032C	NC_001136.10	504099	504695	-	597	441	415	202	205
YDR033W	NC_001136.10	508147	509109	+	963	504	640	238	303
YDR034C	NC_001136.10	509737	512109	-	2373	151	80	46	82
YDR034C-D	NC_001136.10	514043	519356	-	5314	50	70	42	42
YDR034C-C	NC_001136.10	518040	519356	-	1317	0	0	0	0
YNCD0008W	NC_001136.10	519743	519826	+	84	1	0	0	0
YDR034C-A	NC_001136.10	520516	520692	-	177	0	0	0	0
YNCD0009W	NC_001136.10	520972	521043	+	72	0	0	0	0
YDR034W-B	NC_001136.10	521314	521469	+	156	5	8	4	4
YDR035W	NC_001136.10	521816	522928	+	1113	113	613	82	119
YDR036C	NC_001136.10	523211	524713	-	1503	29	35	11	13
YDR037W	NC_001136.10	525440	527215	+	1776	114	359	219	343
YDR038C	NC_001136.10	527422	530697	-	3276	25	13	27	40
YDR039C	NC_001136.10	531307	534582	-	3276	15	13	28	23
YDR040C	NC_001136.10	535192	538467	-	3276	23	13	38	43
YDR041W	NC_001136.10	539803	540414	+	612	53	49	29	37
YDR042C	NC_001136.10	540601	541203	-	603	1	0	0	0
YNCD0010C	NC_001136.10	541602	541700	-	99	0	1	0	1
YDR043C	NC_001136.10	542674	543369	-	696	67	40	76	103
YDR044W	NC_001136.10	546642	547628	+	987	46	67	45	58
YDR045C	NC_001136.10	547978	548310	-	333	7	6	15	20
YDR046C	NC_001136.10	548762	550576	-	1815	25	83	87	155
YDR047W	NC_001136.10	551860	552948	+	1089	111	97	124	213
YDR049W	NC_001136.10	553254	555152	+	1899	51	32	40	69
YDR050C	NC_001136.10	555726	556472	-	747	2270	3436	1920	2691
YDR051C	NC_001136.10	557056	558060	-	1005	48	50	51	90
YDR052C	NC_001136.10	558511	560625	-	2115	66	56	68	87
YDR054C	NC_001136.10	561440	562327	-	888	121	98	93	135
YDR055W	NC_001136.10	563527	564861	+	1335	156	255	142	186
YDR056C	NC_001136.10	565023	565640	-	618	77	86	51	63
YDR057W	NC_001136.10	565927	567555	+	1629	70	67	44	60
YDR058C	NC_001136.10	567723	568703	-	981	23	22	15	24
YNCD0011W	NC_001136.10	568882	568953	+	72	0	0	0	0
YNCD0012W	NC_001136.10	568964	569035	+	72	0	0	0	0
YDR059C	NC_001136.10;NC_001136.10	569234;569724	569633;569770	-;-	447	40	41	9	17
YDR060W	NC_001136.10	570649	573726	+	3078	29	44	91	184
YDR061W	NC_001136.10	574164	575783	+	1620	89	70	38	58
YDR062W	NC_001136.10	576474	578159	+	1686	177	185	148	220
YDR063W	NC_001136.10	578663	579112	+	450	50	56	47	42
YDR064W	NC_001136.10;NC_001136.10	579458;580018	579478;580452	+;+	456	324	641	1088	1717
YDR065W	NC_001136.10	580687	581784	+	1098	16	11	10	22
YDR066C	NC_001136.10	581908	582498	-	591	17	9	13	16
YDR067C	NC_001136.10	582791	583465	-	675	30	34	36	36
YDR068W	NC_001136.10	583713	584645	+	933	44	77	54	57
YDR069C	NC_001136.10	584939	587719	-	2781	60	57	30	42
YDR070C	NC_001136.10	588098	588379	-	282	85	62	10	14
YDR071C	NC_001136.10	588827	589402	-	576	72	93	71	106
YDR072C	NC_001136.10	589761	591344	-	1584	89	66	70	102
YDR073W	NC_001136.10	592439	592948	+	510	29	22	26	54
YDR074W	NC_001136.10	593893	596583	+	2691	1701	1642	1220	1431
YDR075W	NC_001136.10	597156	598082	+	927	13	6	12	18
YDR076W	NC_001136.10	598468	599688	+	1221	12	12	9	11
YDR077W	NC_001136.10	600793	601809	+	1017	1421	2021	1425	1758
YDR078C	NC_001136.10	602198	602869	-	672	3	10	4	5
YDR079W	NC_001136.10	603064	603399	+	336	24	18	19	18
YDR079C-A	NC_001136.10	603593	603811	-	219	7	6	7	3
YDR080W	NC_001136.10	604008	606986	+	2979	80	70	37	73
YDR081C	NC_001136.10	607304	610081	-	2778	65	58	51	72
YDR082W	NC_001136.10	610441	611925	+	1485	32	14	18	17
YDR083W	NC_001136.10	612073	613251	+	1179	24	17	39	72
YDR084C	NC_001136.10	613405	614004	-	600	47	45	21	39
YDR085C	NC_001136.10	614288	616150	-	1863	74	74	80	71
YDR086C	NC_001136.10	616928	617170	-	243	52	61	76	84
YDR087C	NC_001136.10	617470	618306	-	837	27	23	36	51
YDR088C	NC_001136.10	618497	619645	-	1149	33	35	29	46
YNCD0013C	NC_001136.10	619969	620041	-	73	0	0	0	0
YDR089W	NC_001136.10	622112	624721	+	2610	85	98	106	139
YDR090C	NC_001136.10	625066	625998	-	933	30	15	21	26
YDR091C	NC_001136.10	626708	628534	-	1827	79	96	134	221
YDR092W	NC_001136.10;NC_001136.10	629876;630174	629905;630605	+;+	462	43	49	26	29
YDR093W	NC_001136.10	631282	636120	+	4839	118	100	84	159
YDR096W	NC_001136.10	637139	639823	+	2685	147	139	116	151
YDR097C	NC_001136.10	640109	643837	-	3729	47	68	53	73
YDR098C	NC_001136.10	644178	644930	-	753	80	69	78	97
YNCD0014C	NC_001136.10	645153	645224	-	72	0	0	0	0
YDR098C-B	NC_001136.10	645858	651126	-	5269	127	288	139	190
YDR098C-A	NC_001136.10	649804	651126	-	1323	0	0	0	0
YDR099W	NC_001136.10	653607	654428	+	822	534	486	247	337
YDR100W	NC_001136.10	655013	655444	+	432	62	73	32	50
YDR101C	NC_001136.10	655686	657467	-	1782	18	17	46	110
YDR102C	NC_001136.10	657648	657980	-	333	0	1	0	0
YDR103W	NC_001136.10	658350	661103	+	2754	39	49	53	75
YDR104C	NC_001136.10	661173	664910	-	3738	53	27	46	35
YDR105C	NC_001136.10	665349	666770	-	1422	68	71	56	71
YDR106W	NC_001136.10	667004	667858	+	855	12	5	6	5
YNCD0015C	NC_001136.10	668007	668080	-	74	0	0	0	0
YDR107C	NC_001136.10	669016	671034	-	2019	32	16	15	14
YDR108W	NC_001136.10	671269	673365	+	2097	40	47	31	30
YDR109C	NC_001136.10	673520	675667	-	2148	44	35	33	51
YDR110W	NC_001136.10	676102	677802	+	1701	17	25	18	25
YDR111C	NC_001136.10	678241	679764	-	1524	15	14	11	14
YDR113C	NC_001136.10	680496	681617	-	1122	58	25	41	46
YDR114C	NC_001136.10	681924	682226	-	303	0	0	1	0
YDR115W	NC_001136.10	682175	682492	+	318	28	26	6	21
YDR116C	NC_001136.10	682724	683581	-	858	54	71	43	40
YDR117C	NC_001136.10	683946	685643	-	1698	60	53	25	56
YDR118W	NC_001136.10	685882	687840	+	1959	34	28	33	36
YDR119W	NC_001136.10	688227	690533	+	2307	61	89	110	163
YDR119W-A	NC_001136.10	691014	691214	+	201	126	97	101	97
YDR120C	NC_001136.10	691549	693261	-	1713	46	61	61	98
YDR121W	NC_001136.10	693585	694175	+	591	27	22	21	38
YDR122W	NC_001136.10	694700	697894	+	3195	193	208	115	127
YDR123C	NC_001136.10	698554	699468	-	915	18	2	10	20
YDR124W	NC_001136.10	700315	701289	+	975	24	15	7	9
YDR125C	NC_001136.10	701397	702758	-	1362	24	16	13	18
YDR126W	NC_001136.10	703234	704244	+	1011	8	14	14	17
YDR127W	NC_001136.10	704484	709250	+	4767	165	536	185	258
YDR128W	NC_001136.10	709549	712995	+	3447	67	71	45	60
YDR129C	NC_001136.10;NC_001136.10	713340;715359	715247;715379	-;-	1929	706	649	350	474
YDR130C	NC_001136.10	715747	716622	-	876	28	21	20	28
YDR131C	NC_001136.10	716790	718460	-	1671	43	32	23	31
YDR132C	NC_001136.10	718816	720303	-	1488	38	26	20	28
YDR135C	NC_001136.10	723004	727551	-	4548	186	208	152	193
YDR137W	NC_001136.10	728259	730250	+	1992	39	43	46	67
YDR138W	NC_001136.10	730578	732836	+	2259	29	26	38	50
YDR139C	NC_001136.10;NC_001136.10	733618;733776	733702;733924	-;-	234	18	19	19	25
YDR140W	NC_001136.10	734138	734803	+	666	55	29	18	28
YDR141C	NC_001136.10	734901	739997	-	5097	104	123	97	137
YDR142C	NC_001136.10	740473	741600	-	1128	34	28	15	38
YDR143C	NC_001136.10	742042	743874	-	1833	29	54	40	85
YDR144C	NC_001136.10	744311	746101	-	1791	13	19	30	50
YDR145W	NC_001136.10	746738	748357	+	1620	104	111	99	144
YDR146C	NC_001136.10	748613	750742	-	2130	98	91	89	107
YDR147W	NC_001136.10	751631	753235	+	1605	22	27	18	41
YDR148C	NC_001136.10	753675	755066	-	1392	531	371	161	246
YDR150W	NC_001136.10	755628	763874	+	8247	294	186	128	168
YDR151C	NC_001136.10	764178	765155	-	978	31	19	28	55
YDR152W	NC_001136.10	765706	766503	+	798	35	43	53	85
YDR153C	NC_001136.10	766736	767971	-	1236	90	80	76	121
YDR155C	NC_001136.10	768512	769000	-	489	1067	1345	559	761
YDR156W	NC_001136.10	769525	769938	+	414	8	10	18	25
YDR157W	NC_001136.10	769931	770332	+	402	0	1	1	0
YDR158W	NC_001136.10	770357	771454	+	1098	181	1407	219	335
YDR159W	NC_001136.10	771877	775782	+	3906	76	61	36	71
YDR160W	NC_001136.10	776163	778721	+	2559	36	30	28	37
YDR161W	NC_001136.10	779043	780206	+	1164	26	36	55	91
YDR162C	NC_001136.10	780390	781100	-	711	29	26	17	42
YDR163W	NC_001136.10	781423	781950	+	528	20	21	17	33
YDR164C	NC_001136.10	782041	784215	-	2175	62	73	45	77
YDR165W	NC_001136.10	784871	786205	+	1335	27	25	58	98
YDR166C	NC_001136.10	786306	789221	-	2916	86	98	58	90
YDR167W	NC_001136.10	789449	790069	+	621	53	54	58	66
YDR168W	NC_001136.10	790328	791848	+	1521	167	168	90	135
YDR169C	NC_001136.10	792348	793889	-	1542	104	94	70	82
YDR169C-A	NC_001136.10	794574	794723	-	150	2	0	1	4
YDR170C	NC_001136.10	796193	802222	-	6030	234	241	184	231
YNCD0016C	NC_001136.10	802731	802802	-	72	0	0	0	0
YDR170W-A	NC_001136.10	803195	804517	+	1323	2	4	1	1
YDR171W	NC_001136.10	806621	807748	+	1128	1186	940	524	881
YDR172W	NC_001136.10	808324	810381	+	2058	212	270	266	411
YDR173C	NC_001136.10	810565	811632	-	1068	19	20	10	21
YDR174W	NC_001136.10	812110	812850	+	741	119	141	157	229
YDR175C	NC_001136.10	813193	814152	-	960	56	60	22	37
YDR176W	NC_001136.10	814452	816560	+	2109	54	70	43	80
YDR177W	NC_001136.10	816878	817525	+	648	112	149	88	128
YDR178W	NC_001136.10	817950	818495	+	546	262	238	101	111
YDR179C	NC_001136.10	818708	819196	-	489	11	8	4	8
YDR179W-A	NC_001136.10	819433	820824	+	1392	12	10	5	9
YDR180W	NC_001136.10	821295	825776	+	4482	16	12	21	31
YDR181C	NC_001136.10	825910	827355	-	1446	35	35	34	40
YDR182W	NC_001136.10	827582	829057	+	1476	116	90	79	103
YDR182W-A	NC_001136.10	829151	829354	+	204	1	2	0	2
YDR183W	NC_001136.10	829585	830277	+	693	7	13	16	22
YDR184C	NC_001136.10	830629	831513	-	885	8	2	8	16
YDR185C	NC_001136.10	831934	832473	-	540	6	7	7	15
YDR186C	NC_001136.10	832859	835492	-	2634	166	107	95	145
YDR188W	NC_001136.10	836421	838061	+	1641	282	339	271	388
YDR189W	NC_001136.10	838392	840392	+	2001	87	96	69	94
YDR190C	NC_001136.10	840604	841995	-	1392	116	111	109	167
YDR191W	NC_001136.10	842337	843449	+	1113	11	5	9	10
YDR192C	NC_001136.10	843569	844861	-	1293	30	27	18	41
YDR194C	NC_001136.10	845952	847946	-	1995	100	114	63	84
YDR194W-A	NC_001136.10	848071	848223	+	153	0	0	0	0
YDR195W	NC_001136.10	848599	850200	+	1602	37	37	17	52
YDR196C	NC_001136.10	850274	850999	-	726	96	54	46	64
YDR197W	NC_001136.10	851228	852397	+	1170	43	43	31	32
YDR198C	NC_001136.10	852533	853972	-	1440	18	11	18	29
YDR200C	NC_001136.10	854279	856093	-	1815	83	61	50	68
YDR201W	NC_001136.10	856317	856814	+	498	20	21	17	26
YDR202C	NC_001136.10	856898	857953	-	1056	78	59	27	43
YDR204W	NC_001136.10	858137	859144	+	1008	96	79	57	64
YDR205W	NC_001136.10	859346	861520	+	2175	37	41	36	34
YDR206W	NC_001136.10	862054	864708	+	2655	72	46	57	104
YDR207C	NC_001136.10	865012	867522	-	2511	35	37	28	65
YDR208W	NC_001136.10	868224	870563	+	2340	125	121	109	137
YDR209C	NC_001136.10	871036	871449	-	414	18	22	25	36
YDR210W	NC_001136.10	871074	871301	+	228	0	0	0	0
YDR210W-B	NC_001136.10	872112	877425	+	5314	54	72	26	65
YDR210W-A	NC_001136.10	872112	873428	+	1317	0	0	0	0
YDR210C-D	NC_001136.10	878659	883927	-	5269	109	240	121	188
YDR210C-C	NC_001136.10	882605	883927	-	1323	0	0	0	0
YNCD0017W	NC_001136.10;NC_001136.10	884361;884458	884397;884493	+;+	73	0	0	0	0
YDR211W	NC_001136.10	884727	886865	+	2139	72	98	123	189
YDR212W	NC_001136.10	887232	888911	+	1680	200	225	151	251
YDR213W	NC_001136.10	889751	892492	+	2742	9	21	20	28
YDR214W	NC_001136.10	892875	893927	+	1053	424	370	166	271
YDR215C	NC_001136.10	894089	894502	-	414	5	4	2	5
YDR216W	NC_001136.10	895035	899006	+	3972	360	273	126	143
YDR217C	NC_001136.10	899551	903480	-	3930	38	35	19	57
YDR218C	NC_001136.10	903781	905052	-	1272	0	3	0	2
YDR219C	NC_001136.10	905455	906852	-	1398	73	39	50	50
YDR221W	NC_001136.10	907330	909438	+	2109	91	68	52	57
YDR222W	NC_001136.10	910054	911301	+	1248	39	28	27	53
YDR223W	NC_001136.10	912099	913502	+	1404	16	9	7	12
YDR224C	NC_001136.10	914317	914712	-	396	398	351	275	372
YDR225W	NC_001136.10	915530	915928	+	399	345	198	215	277
YDR226W	NC_001136.10	916486	917154	+	669	256	582	340	492
YDR227W	NC_001136.10	917571	921647	+	4077	76	54	50	72
YDR228C	NC_001136.10	921926	923806	-	1881	37	38	46	70
YDR229W	NC_001136.10	924785	926146	+	1362	78	71	51	76
YDR231C	NC_001136.10	926293	926910	-	618	75	79	37	46
YDR232W	NC_001136.10	927452	929098	+	1647	144	146	120	168
YDR233C	NC_001136.10	929470	930357	-	888	257	309	329	451
YDR234W	NC_001136.10	931129	933210	+	2082	230	260	99	189
YDR235W	NC_001136.10	933504	935138	+	1635	44	40	33	52
YDR236C	NC_001136.10	935236	935892	-	657	30	31	20	26
YDR237W	NC_001136.10	936615	937493	+	879	52	90	37	39
YDR238C	NC_001136.10	937895	940816	-	2922	318	315	237	385
YDR239C	NC_001136.10	941057	943420	-	2364	44	41	31	49
YDR240C	NC_001136.10	943674	945152	-	1479	20	14	16	29
YNCD0018W	NC_001136.10;NC_001136.10	946312;946365	946350;946400	+;+	75	0	1	0	0
YDR242W	NC_001136.10	946807	948456	+	1650	33	26	12	17
YDR243C	NC_001136.10	948518	950284	-	1767	24	10	15	34
YDR244W	NC_001136.10	950563	952401	+	1839	77	60	45	83
YDR245W	NC_001136.10	952800	953981	+	1182	102	87	78	158
YDR246W	NC_001136.10	954288	954947	+	660	52	44	31	27
YDR246W-A	NC_001136.10	955133	955333	+	201	5	2	3	1
YDR247W	NC_001136.10	956013	957398	+	1386	80	48	44	52
YDR248C	NC_001136.10	957758	958339	-	582	73	44	32	38
YDR249C	NC_001136.10	958681	959802	-	1122	9	6	11	17
YDR251W	NC_001136.10	960614	963106	+	2493	221	217	174	180
YDR252W	NC_001136.10	963412	963861	+	450	8	2	3	3
YDR253C	NC_001136.10	963990	964565	-	576	38	9	3	12
YDR254W	NC_001136.10	965113	966489	+	1377	75	29	42	33
YDR255C	NC_001136.10	966557	967822	-	1266	81	68	41	46
YDR256C	NC_001136.10	968133	969680	-	1548	38	14	14	25
YDR257C	NC_001136.10	969990	971474	-	1485	54	32	36	46
YDR258C	NC_001136.10	971808	974243	-	2436	1274	1175	338	557
YDR259C	NC_001136.10	974631	975782	-	1152	18	18	18	22
YDR260C	NC_001136.10	976717	977229	-	513	15	19	12	19
YDR261C	NC_001136.10	977521	979209	-	1689	71	54	67	95
YNCD0019C	NC_001136.10	980974	981055	-	82	0	0	0	1
YDR261W-B	NC_001136.10	981462	986775	+	5314	45	63	39	44
YDR261W-A	NC_001136.10	981462	982778	+	1317	0	0	0	0
YDR261C-D	NC_001136.10	987534	992349	-	4816	133	331	164	196
YDR261C-C	NC_001136.10	991027	992349	-	1323	0	0	0	0
YNCD0020W	NC_001136.10	992832	992902	+	71	2	1	0	0
YDR262W	NC_001136.10	993134	993952	+	819	141	94	49	93
YDR263C	NC_001136.10	994242	995534	-	1293	25	8	8	12
YDR264C	NC_001136.10	996029	998323	-	2295	148	156	115	193
YDR265W	NC_001136.10	998864	999877	+	1014	30	31	23	25
YDR266C	NC_001136.10	1000104	1002023	-	1920	43	67	86	118
YDR267C	NC_001136.10	1002510	1003502	-	993	53	34	32	54
YDR268W	NC_001136.10	1004004	1005143	+	1140	15	20	14	14
YDR270W	NC_001136.10	1005675	1008689	+	3015	82	47	41	53
YDR272W	NC_001136.10	1009010	1009834	+	825	184	159	94	116
YDR273W	NC_001136.10	1010176	1011273	+	1098	9	6	9	16
YDR274C	NC_001136.10	1011589	1011960	-	372	1	2	0	1
YDR275W	NC_001136.10	1012252	1012959	+	708	16	15	11	12
